Data,Cidade,UF,Vendedor,Salario,Veículo,Preço
25-Fev-2020,Americana,SP,Elian Belli,1800,Logan,24379
25-Fev-2020,Americana,SP,Elian Belli,1800,Corola,42893
25-Fev-2020,Americana,SP,Elian Belli,1800,Corola,11523
25-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,12614
25-Fev-2020,Americana,SP,Elian Belli,1800,Logan,52808
25-Fev-2020,Americana,SP,Elian Belli,1800,Polo,33090
25-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,21596
25-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,49043
26-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,53250
26-Fev-2020,Americana,SP,Elian Belli,1800,Corola,11662
26-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,29460
26-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,20003
26-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,42857
26-Fev-2020,Americana,SP,Elian Belli,1800,Corola,40516
26-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,49356
26-Fev-2020,Americana,SP,Elian Belli,1800,Ka,56698
18-Fev-2020,Americana,SP,Elian Belli,1800,Polo,36091
18-Fev-2020,Americana,SP,Elian Belli,1800,Ka,32427
18-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,27508
27-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,18147
27-Fev-2020,Americana,SP,Elian Belli,1800,Ka,23135
27-Fev-2020,Americana,SP,Elian Belli,1800,Gol,43824
27-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,28072
27-Fev-2020,Americana,SP,Elian Belli,1800,Corola,32077
27-Fev-2020,Americana,SP,Elian Belli,1800,Polo,33887
27-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,24187
27-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,47645
15-Fev-2020,Americana,SP,Elian Belli,1800,Uno,16052
15-Fev-2020,Americana,SP,Elian Belli,1800,Uno,57624
15-Fev-2020,Americana,SP,Elian Belli,1800,Polo,42133
15-Fev-2020,Americana,SP,Elian Belli,1800,Uno,26140
15-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,48232
15-Fev-2020,Americana,SP,Elian Belli,1800,Ka,43205
15-Fev-2020,Americana,SP,Elian Belli,1800,Corola,21639
26-Fev-2020,Americana,SP,Elian Belli,1800,Civic,19219
26-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,42125
26-Fev-2020,Americana,SP,Elian Belli,1800,Ka,27829
26-Fev-2020,Americana,SP,Elian Belli,1800,Uno,10709
26-Fev-2020,Americana,SP,Elian Belli,1800,Ka,42608
26-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,20477
26-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,46380
26-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,11877
26-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,42792
24-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,52961
16-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,41096
16-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,28155
16-Fev-2020,Americana,SP,Elian Belli,1800,Corola,38694
16-Fev-2020,Americana,SP,Elian Belli,1800,Logan,22512
16-Fev-2020,Americana,SP,Elian Belli,1800,Logan,31244
16-Fev-2020,Americana,SP,Elian Belli,1800,Gol,37086
16-Fev-2020,Americana,SP,Elian Belli,1800,Civic,50198
16-Fev-2020,Americana,SP,Elian Belli,1800,Logan,14686
16-Fev-2020,Americana,SP,Elian Belli,1800,Polo,55218
16-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,43082
16-Fev-2020,Americana,SP,Elian Belli,1800,Logan,21644
17-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,41771
17-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,29196
17-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,39044
17-Fev-2020,Americana,SP,Elian Belli,1800,Civic,48936
17-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,36912
17-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,46469
17-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,11757
12-Fev-2020,Americana,SP,Elian Belli,1800,Logan,56329
26-Fev-2020,Americana,SP,Elian Belli,1800,Uno,57478
26-Fev-2020,Americana,SP,Elian Belli,1800,Civic,33690
26-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,20820
26-Fev-2020,Americana,SP,Elian Belli,1800,Uno,39872
26-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,25776
26-Fev-2020,Americana,SP,Elian Belli,1800,Civic,34591
26-Fev-2020,Americana,SP,Elian Belli,1800,Corola,20241
26-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,30028
26-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,42151
26-Fev-2020,Americana,SP,Elian Belli,1800,Civic,47447
26-Fev-2020,Americana,SP,Elian Belli,1800,Logan,11153
5-Fev-2020,Americana,SP,Elian Belli,1800,Corola,48890
5-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,46988
5-Fev-2020,Americana,SP,Elian Belli,1800,Ka,11255
5-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,42570
5-Fev-2020,Americana,SP,Elian Belli,1800,Uno,26577
5-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,19028
4-Fev-2020,Americana,SP,Elian Belli,1800,Gol,56343
4-Fev-2020,Americana,SP,Elian Belli,1800,Ka,21880
4-Fev-2020,Americana,SP,Elian Belli,1800,Civic,21771
4-Fev-2020,Americana,SP,Elian Belli,1800,Ka,38097
4-Fev-2020,Americana,SP,Elian Belli,1800,Civic,29937
4-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,44391
4-Fev-2020,Americana,SP,Elian Belli,1800,Logan,54658
4-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,15437
4-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,32775
4-Fev-2020,Americana,SP,Elian Belli,1800,Civic,30067
4-Fev-2020,Americana,SP,Elian Belli,1800,Logan,13422
25-Fev-2020,Americana,SP,Elian Belli,1800,Corola,32100
25-Fev-2020,Americana,SP,Elian Belli,1800,Civic,30936
25-Fev-2020,Americana,SP,Elian Belli,1800,Pálio,38919
25-Fev-2020,Americana,SP,Elian Belli,1800,Corola,10429
25-Fev-2020,Americana,SP,Elian Belli,1800,Logan,31484
25-Fev-2020,Americana,SP,Elian Belli,1800,Ka,29034
25-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,55329
25-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,24289
25-Fev-2020,Americana,SP,Elian Belli,1800,Uno,44319
25-Fev-2020,Americana,SP,Elian Belli,1800,Corola,41911
25-Fev-2020,Americana,SP,Elian Belli,1800,Ka,18889
17-Fev-2020,Americana,SP,Elian Belli,1800,Polo,36111
17-Fev-2020,Americana,SP,Elian Belli,1800,Uno,27965
17-Fev-2020,Americana,SP,Elian Belli,1800,Uno,23094
17-Fev-2020,Americana,SP,Elian Belli,1800,EcoSport,54197
17-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,10271
17-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,33012
17-Fev-2020,Americana,SP,Elian Belli,1800,Uno,30311
17-Fev-2020,Americana,SP,Elian Belli,1800,Polo,12656
17-Fev-2020,Americana,SP,Elian Belli,1800,Uno,27854
17-Fev-2020,Americana,SP,Elian Belli,1800,Ka,45216
17-Fev-2020,Americana,SP,Elian Belli,1800,Gol,50865
17-Fev-2020,Americana,SP,Elian Belli,1800,Cruze,19243
23-Fev-2020,Americana,SP,Elian Belli,1800,Fiesta,47068
23-Fev-2020,Americana,SP,Elian Belli,1800,Gol,30074
2020-03-10,Americana,SP,Elian Belli,1800,Polo,36785
2020-03-10,Americana,SP,Elian Belli,1800,Pálio,15008
2020-03-10,Americana,SP,Elian Belli,1800,Cruze,27327
2020-03-10,Americana,SP,Elian Belli,1800,EcoSport,43315
2020-03-10,Americana,SP,Elian Belli,1800,Polo,53578
2020-03-10,Americana,SP,Elian Belli,1800,Logan,16326
2020-03-09,Americana,SP,Elian Belli,1800,Logan,18785
2020-03-09,Americana,SP,Elian Belli,1800,Pálio,25997
2020-03-09,Americana,SP,Elian Belli,1800,Pálio,50607
2020-03-09,Americana,SP,Elian Belli,1800,Civic,41163
2020-03-09,Americana,SP,Elian Belli,1800,Pálio,54065
2020-03-23,Americana,SP,Elian Belli,1800,Cruze,54087
2020-03-23,Americana,SP,Elian Belli,1800,Corola,51062
2020-03-23,Americana,SP,Elian Belli,1800,Fiesta,34133
2020-03-23,Americana,SP,Elian Belli,1800,Logan,44222
2020-03-23,Americana,SP,Elian Belli,1800,Fiesta,35152
2020-03-23,Americana,SP,Elian Belli,1800,Pálio,21888
2020-03-23,Americana,SP,Elian Belli,1800,Cruze,54435
2020-03-09,Americana,SP,Elian Belli,1800,EcoSport,54187
2020-03-09,Americana,SP,Elian Belli,1800,Polo,26342
2020-03-14,Americana,SP,Elian Belli,1800,EcoSport,24957
2020-03-14,Americana,SP,Elian Belli,1800,Cruze,11569
2020-03-14,Americana,SP,Elian Belli,1800,EcoSport,33134
2020-03-14,Americana,SP,Elian Belli,1800,Cruze,24856
2020-03-14,Americana,SP,Elian Belli,1800,Cruze,16190
2020-03-14,Americana,SP,Elian Belli,1800,Gol,46618
2020-03-14,Americana,SP,Elian Belli,1800,Cruze,15292
2020-03-19,Americana,SP,Elian Belli,1800,Civic,52984
2020-03-19,Americana,SP,Elian Belli,1800,Fiesta,51002
2020-03-19,Americana,SP,Elian Belli,1800,Cruze,59178
2020-03-19,Americana,SP,Elian Belli,1800,Fiesta,43048
2020-03-19,Americana,SP,Elian Belli,1800,Uno,20659
2020-03-19,Americana,SP,Elian Belli,1800,Fiesta,14686
2020-03-04,Americana,SP,Elian Belli,1800,Pálio,21385
2020-03-22,Americana,SP,Elian Belli,1800,Logan,58808
2020-03-22,Americana,SP,Elian Belli,1800,Fiesta,32422
2020-03-21,Americana,SP,Elian Belli,1800,Logan,59984
2020-03-21,Americana,SP,Elian Belli,1800,Pálio,20778
2020-03-21,Americana,SP,Elian Belli,1800,Uno,45382
2020-03-21,Americana,SP,Elian Belli,1800,Polo,53796
2020-03-21,Americana,SP,Elian Belli,1800,Corola,49922
2020-03-21,Americana,SP,Elian Belli,1800,EcoSport,33535
2020-03-21,Americana,SP,Elian Belli,1800,EcoSport,14992
2020-03-21,Americana,SP,Elian Belli,1800,Logan,12899
2020-03-21,Americana,SP,Elian Belli,1800,Civic,34778
2020-03-21,Americana,SP,Elian Belli,1800,Logan,34857
2020-03-12,Americana,SP,Elian Belli,1800,Gol,17931
2020-03-12,Americana,SP,Elian Belli,1800,Logan,58305
2020-03-12,Americana,SP,Elian Belli,1800,Fiesta,46179
2020-03-27,Americana,SP,Elian Belli,1800,Civic,49662
2020-03-27,Americana,SP,Elian Belli,1800,Polo,15605
2020-03-27,Americana,SP,Elian Belli,1800,Cruze,45480
2020-03-27,Americana,SP,Elian Belli,1800,Ka,13653
2020-03-27,Americana,SP,Elian Belli,1800,Pálio,39899
2020-03-27,Americana,SP,Elian Belli,1800,Logan,47216
2020-03-27,Americana,SP,Elian Belli,1800,EcoSport,57890
2020-03-27,Americana,SP,Elian Belli,1800,Logan,54190
2020-03-27,Americana,SP,Elian Belli,1800,Polo,50535
2020-03-21,Americana,SP,Elian Belli,1800,EcoSport,39492
2020-03-09,Americana,SP,Elian Belli,1800,Corola,30479
2020-03-09,Americana,SP,Elian Belli,1800,Logan,55650
2020-03-09,Americana,SP,Elian Belli,1800,Corola,20721
2020-03-09,Americana,SP,Elian Belli,1800,Cruze,22126
4-Abr-2020,Americana,SP,Elian Belli,1800,Fiesta,41752
4-Abr-2020,Americana,SP,Elian Belli,1800,EcoSport,22978
4-Abr-2020,Americana,SP,Elian Belli,1800,Ka,38291
4-Abr-2020,Americana,SP,Elian Belli,1800,Cruze,52436
4-Abr-2020,Americana,SP,Elian Belli,1800,Uno,58457
4-Abr-2020,Americana,SP,Elian Belli,1800,Gol,56885
16-Mai-2020,Americana,SP,Elian Belli,1800,Logan,30715
16-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,37654
16-Mai-2020,Americana,SP,Elian Belli,1800,Uno,43117
16-Mai-2020,Americana,SP,Elian Belli,1800,Civic,20955
16-Mai-2020,Americana,SP,Elian Belli,1800,Corola,45523
16-Mai-2020,Americana,SP,Elian Belli,1800,Polo,29629
16-Mai-2020,Americana,SP,Elian Belli,1800,Civic,28964
16-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,20239
16-Mai-2020,Americana,SP,Elian Belli,1800,Gol,33469
16-Mai-2020,Americana,SP,Elian Belli,1800,Civic,39690
7-Mai-2020,Americana,SP,Elian Belli,1800,Civic,18421
7-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,10665
14-Mai-2020,Americana,SP,Elian Belli,1800,Ka,54059
14-Mai-2020,Americana,SP,Elian Belli,1800,Uno,48222
27-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,25826
27-Mai-2020,Americana,SP,Elian Belli,1800,Ka,10834
27-Mai-2020,Americana,SP,Elian Belli,1800,Civic,40519
27-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,31206
27-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,12514
27-Mai-2020,Americana,SP,Elian Belli,1800,Corola,24788
27-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,15599
27-Mai-2020,Americana,SP,Elian Belli,1800,Uno,13079
27-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,32597
27-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,40146
27-Mai-2020,Americana,SP,Elian Belli,1800,Polo,47914
7-Mai-2020,Americana,SP,Elian Belli,1800,Uno,25730
7-Mai-2020,Americana,SP,Elian Belli,1800,Civic,24283
7-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,31700
7-Mai-2020,Americana,SP,Elian Belli,1800,Polo,10716
12-Mai-2020,Americana,SP,Elian Belli,1800,Ka,55351
12-Mai-2020,Americana,SP,Elian Belli,1800,Corola,52037
12-Mai-2020,Americana,SP,Elian Belli,1800,Polo,18267
12-Mai-2020,Americana,SP,Elian Belli,1800,Logan,23499
12-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,16953
12-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,10292
12-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,17788
12-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,46964
12-Mai-2020,Americana,SP,Elian Belli,1800,Uno,46331
12-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,45875
6-Mai-2020,Americana,SP,Elian Belli,1800,Logan,38547
6-Mai-2020,Americana,SP,Elian Belli,1800,Civic,40644
14-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,43521
14-Mai-2020,Americana,SP,Elian Belli,1800,Uno,19564
14-Mai-2020,Americana,SP,Elian Belli,1800,Logan,44922
14-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,23365
14-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,21396
14-Mai-2020,Americana,SP,Elian Belli,1800,Ka,45416
14-Mai-2020,Americana,SP,Elian Belli,1800,Uno,49059
14-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,53997
14-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,25379
3-Mai-2020,Americana,SP,Elian Belli,1800,Civic,35592
3-Mai-2020,Americana,SP,Elian Belli,1800,Corola,38305
21-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,55217
21-Mai-2020,Americana,SP,Elian Belli,1800,Civic,15965
21-Mai-2020,Americana,SP,Elian Belli,1800,Corola,19786
21-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,35979
21-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,38726
10-Mai-2020,Americana,SP,Elian Belli,1800,Ka,57921
10-Mai-2020,Americana,SP,Elian Belli,1800,Ka,56463
10-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,39285
10-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,25272
10-Mai-2020,Americana,SP,Elian Belli,1800,Logan,26956
10-Mai-2020,Americana,SP,Elian Belli,1800,Polo,37612
4-Mai-2020,Americana,SP,Elian Belli,1800,Polo,22334
4-Mai-2020,Americana,SP,Elian Belli,1800,Uno,55891
4-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,16065
4-Mai-2020,Americana,SP,Elian Belli,1800,Uno,34060
4-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,20905
4-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,29899
4-Mai-2020,Americana,SP,Elian Belli,1800,Corola,57829
28-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,51612
28-Mai-2020,Americana,SP,Elian Belli,1800,Civic,22888
28-Mai-2020,Americana,SP,Elian Belli,1800,Polo,27130
28-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,16408
28-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,30305
28-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,59031
28-Mai-2020,Americana,SP,Elian Belli,1800,Fiesta,38597
28-Mai-2020,Americana,SP,Elian Belli,1800,Civic,37008
27-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,15206
23-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,33043
23-Mai-2020,Americana,SP,Elian Belli,1800,Pálio,35346
23-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,25048
23-Mai-2020,Americana,SP,Elian Belli,1800,Civic,29852
23-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,54347
23-Mai-2020,Americana,SP,Elian Belli,1800,Uno,15431
23-Mai-2020,Americana,SP,Elian Belli,1800,Corola,47522
23-Mai-2020,Americana,SP,Elian Belli,1800,Civic,46571
23-Mai-2020,Americana,SP,Elian Belli,1800,Corola,54352
10-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,31090
10-Mai-2020,Americana,SP,Elian Belli,1800,EcoSport,35142
10-Mai-2020,Americana,SP,Elian Belli,1800,Uno,46609
11-Mai-2020,Americana,SP,Elian Belli,1800,Corola,43442
11-Mai-2020,Americana,SP,Elian Belli,1800,Logan,11351
11-Mai-2020,Americana,SP,Elian Belli,1800,Ka,18913
11-Mai-2020,Americana,SP,Elian Belli,1800,Logan,59912
11-Mai-2020,Americana,SP,Elian Belli,1800,Uno,18433
11-Mai-2020,Americana,SP,Elian Belli,1800,Cruze,18545
11-Mai-2020,Americana,SP,Elian Belli,1800,Uno,57655
11-Mai-2020,Americana,SP,Elian Belli,1800,Gol,17426
2020-06-26,Americana,SP,Elian Belli,1800,Cruze,59937
2020-06-26,Americana,SP,Elian Belli,1800,EcoSport,22086
2020-06-26,Americana,SP,Elian Belli,1800,Fiesta,20790
2020-06-26,Americana,SP,Elian Belli,1800,Pálio,50155
2020-06-26,Americana,SP,Elian Belli,1800,Logan,36558
2020-06-26,Americana,SP,Elian Belli,1800,EcoSport,27652
2020-06-26,Americana,SP,Elian Belli,1800,EcoSport,11903
2020-06-22,Americana,SP,Elian Belli,1800,EcoSport,39486
2020-06-22,Americana,SP,Elian Belli,1800,Polo,50470
2020-06-22,Americana,SP,Elian Belli,1800,Pálio,50878
2020-06-15,Americana,SP,Elian Belli,1800,Civic,24348
2020-06-15,Americana,SP,Elian Belli,1800,Gol,57731
2020-06-15,Americana,SP,Elian Belli,1800,EcoSport,46755
2020-06-15,Americana,SP,Elian Belli,1800,Pálio,13388
2020-06-15,Americana,SP,Elian Belli,1800,Cruze,37846
2020-06-15,Americana,SP,Elian Belli,1800,Fiesta,27817
2020-06-25,Americana,SP,Elian Belli,1800,Gol,36638
2020-06-18,Americana,SP,Elian Belli,1800,Polo,47934
2020-06-18,Americana,SP,Elian Belli,1800,Fiesta,58282
2020-06-18,Americana,SP,Elian Belli,1800,Uno,43412
2020-06-18,Americana,SP,Elian Belli,1800,Pálio,33432
2020-06-18,Americana,SP,Elian Belli,1800,Civic,51308
2020-06-18,Americana,SP,Elian Belli,1800,Ka,13826
2020-06-18,Americana,SP,Elian Belli,1800,Ka,28008
2020-06-18,Americana,SP,Elian Belli,1800,Cruze,32242
2020-06-18,Americana,SP,Elian Belli,1800,Cruze,51798
2020-06-18,Americana,SP,Elian Belli,1800,Civic,23715
2020-06-18,Americana,SP,Elian Belli,1800,Logan,31346
2020-06-18,Americana,SP,Elian Belli,1800,Gol,20210
2020-06-18,Americana,SP,Elian Belli,1800,Pálio,59090
2020-06-18,Americana,SP,Elian Belli,1800,Fiesta,49422
2020-06-18,Americana,SP,Elian Belli,1800,EcoSport,10816
2020-06-18,Americana,SP,Elian Belli,1800,EcoSport,16258
2020-06-18,Americana,SP,Elian Belli,1800,Civic,54893
2020-06-18,Americana,SP,Elian Belli,1800,Pálio,45120
2020-06-18,Americana,SP,Elian Belli,1800,Corola,53820
2020-06-24,Americana,SP,Elian Belli,1800,Polo,56054
2020-06-24,Americana,SP,Elian Belli,1800,Logan,35570
2020-06-24,Americana,SP,Elian Belli,1800,Ka,44274
2020-06-06,Americana,SP,Elian Belli,1800,Pálio,18989
2020-06-06,Americana,SP,Elian Belli,1800,Ka,23490
2020-06-06,Americana,SP,Elian Belli,1800,Polo,32720
2020-06-06,Americana,SP,Elian Belli,1800,Uno,20585
2020-06-06,Americana,SP,Elian Belli,1800,Pálio,32963
2020-06-06,Americana,SP,Elian Belli,1800,EcoSport,19850
2020-06-06,Americana,SP,Elian Belli,1800,Uno,40708
2020-06-06,Americana,SP,Elian Belli,1800,Civic,45829
2020-06-18,Americana,SP,Elian Belli,1800,Civic,57787
2020-06-18,Americana,SP,Elian Belli,1800,Corola,25511
2020-06-18,Americana,SP,Elian Belli,1800,Gol,19974
2020-06-18,Americana,SP,Elian Belli,1800,Corola,46189
2020-06-18,Americana,SP,Elian Belli,1800,Logan,47662
2020-06-18,Americana,SP,Elian Belli,1800,Uno,11213
2020-06-07,Americana,SP,Elian Belli,1800,Gol,26101
2020-06-07,Americana,SP,Elian Belli,1800,Fiesta,41429
2020-06-07,Americana,SP,Elian Belli,1800,Uno,51585
2020-06-07,Americana,SP,Elian Belli,1800,EcoSport,12181
2020-06-07,Americana,SP,Elian Belli,1800,Pálio,24915
2020-06-07,Americana,SP,Elian Belli,1800,Polo,51534
2020-06-07,Americana,SP,Elian Belli,1800,Uno,27101
2020-06-07,Americana,SP,Elian Belli,1800,Corola,52464
